"date","date.mean","holiday","new_thanks","high.temp","low.temp","humidity","rain","temp","wind"
"2016-10-01",0.358444270015699,1,0,23.6,17.6,82.4583333333333,1,20.45416675,0.883333333333333
"2016-10-02",0.382202660406886,1,0,23.9,17.200001,89.25,1,20.8791667083333,3.13333333333333
"2016-10-03",0.384494522691706,1,0,24.9,18.6,81.625,0,21.4750002083333,2.025
"2016-10-04",0.311238467552776,0,0,28.1,18.6,68.7083333333333,0,23.2083334166667,2.3875
"2016-10-05",0.284706157443492,0,0,24.700001,13.7,76.2916666666667,0,19.3791667083333,2.14166666666667
"2016-10-06",0.296569086651054,0,0,20.700001,15.4,66.0833333333333,0,18.3541669583333,2.29583333333333
"2016-10-07",0.285494172494172,0,0,24.6,16.1,82.0833333333333,1,19.341666875,1.74583333333333
"2016-10-08",0.332444186046512,1,0,21.1,10.3,62.2916666666667,0,15.820833375,3.41666666666667
"2016-10-09",0.337733333333333,1,0,14.9,11.5,53.3333333333333,0,12.9625,2.12916666666667
"2016-10-10",0.273353941267388,0,0,17.200001,9.7,62.4583333333333,0,12.7458334583333,0.895833333333333
"2016-10-11",0.283859013867488,0,0,20.799999,14,67,0,16.3458333333333,0.841666666666667
"2016-10-12",0.284963762528913,0,0,18.200001,11.4,58.0833333333333,0,14.7083334166667,1.425
"2016-10-13",0.287879815100154,0,0,19.6,10.6,63.4583333333333,0,14.7124999166667,0.9625
"2016-10-14",0.305496147919877,0,0,23,13.5,70.3333333333333,0,17.695833375,1.04166666666667
"2016-10-15",0.358711093990755,1,0,25.4,17.5,62.8333333333333,0,20.8916667916667,1.65
"2016-10-16",0.355845797995374,1,0,19.299999,15.7,85.4166666666667,1,17.0583334166667,1.14583333333333
"2016-10-17",0.3062781201849,0,0,21.6,10.9,79.2916666666667,0,16.65,1.39166666666667
"2016-10-18",0.302307395993837,0,0,22.6,11.6,74.0833333333333,0,15.84583325,0.908333333333333
"2016-10-19",0.293638888888889,0,0,22.4,11.3,78.2916666666667,0,16.4583332916667,1.06666666666667
"2016-10-20",0.288986164488855,0,0,21.4,16.4,72.5416666666667,0,18.616666625,2.03333333333333
"2016-10-21",0.276497305619707,0,0,19.700001,14.6,73.2083333333333,0,17.1750000416667,1.5
"2016-10-22",0.375202307692308,1,0,20.9,16.9,72.125,1,18.5625000833333,2.16666666666667
"2016-10-23",0.370827824750192,1,0,18.1,10.2,80.5833333333333,1,12.7458334166667,2.85416666666667
"2016-10-24",0.295750384024578,0,0,19,13.4,74.6666666666667,1,15.999999875,2.37083333333333
"2016-10-25",0.285865797546012,0,0,18.700001,11.8,81.4583333333333,1,14.8083334583333,1.725
"2016-10-26",0.284183846153846,0,0,17.700001,12.3,69.4583333333333,0,15.2833334166667,1.8125
"2016-10-27",0.277633640552995,0,0,17.1,13,74.75,1,15.2666667083333,1.54583333333333
"2016-10-28",0.289842791411043,0,0,17.299999,9.3,61.6666666666667,0,13.5,2.57916666666667
"2016-10-29",0.341513409961686,1,0,10.9,4.6,55.5833333333333,0,7.82916666666667,1.82916666666667
"2016-10-30",0.367183422870299,1,0,14.2,6.4,48.0833333333333,0,9.64583333333333,0.995833333333333
"2016-10-31",0.266796779141104,0,0,10.9,2.9,62.7083333333333,1,7.27916666666667,2.47916666666667
"2016-11-01",0.27872009202454,0,0,6.7,2,62.75,0,4,1.6875
"2016-11-02",0.277135176651306,0,0,11.8,5.3,63.6666666666667,1,9.1,1.32916666666667
"2016-11-03",0.282924137931034,0,0,15.6,5.9,64.7916666666667,0,10.2916666666667,1.4125
"2016-11-04",0.29391724137931,0,0,16.6,12.4,76,0,14.5041666666667,2.77083333333333
"2016-11-05",0.367180491551459,1,0,19.1,12.6,87.875,0,15.6083334166667,1.73333333333333
"2016-11-06",0.396223159509202,1,0,19.5,10.9,69.7916666666667,0,15.0749999583333,2.09166666666667
"2016-11-07",0.295947932618683,0,0,16.799999,5.6,74.75,1,11.6708332916667,2.68333333333333
"2016-11-08",0.282592960979342,0,0,8.5,1.5,54.6666666666667,0,4.975,3.06666666666667
"2016-11-09",0.287092649310873,0,0,7.2,1.9,54.5416666666667,0,4.36666666666667,1.3375
"2016-11-10",0.288879019908116,0,0,10.5,5.1,72.7083333333333,1,8.18333333333333,1.42916666666667
"2016-11-11",0.309693955623565,0,0,14.1,7.1,65.875,0,9.96666666666667,1.91666666666667
"2016-11-12",0.375757274119449,1,0,16.799999,10,75.5,0,13.2374999583333,1.89166666666667
"2016-11-13",0.386420445810915,1,0,19.1,13.2,75.375,1,15.779166625,1.23333333333333
"2016-11-14",0.330868865030675,0,0,18.1,6.9,72.875,1,12.912500125,1.47916666666667
"2016-11-15",0.302324427480916,0,0,9.8,0.7,61.3333333333333,0,5.72916666666667,1.62083333333333
"2016-11-16",0.308016067329763,0,0,11.3,3.5,60.9166666666667,0,7.18333333333333,0.925
"2016-11-17",0.317246165644172,0,0,14.8,4.9,71.9166666666667,0,9.27916666666667,1.16666666666667
"2016-11-18",0.355558103975535,0,0,14.9,9.4,81.8333333333333,1,11.2208333333333,1.05833333333333
"2016-11-19",0.494845329249617,1,0,15.1,7.5,87.2916666666667,0,12.1375,1.4
"2016-11-20",0.47379679144385,1,0,12.3,9.3,51.3333333333333,0,10.8,2.9375
"2016-11-21",0.330331039755352,0,0,13.5,4,63.2916666666667,0,9.79166666666667,2.04583333333333
"2016-11-22",0.318084732824428,0,0,4.7,0.2,55.3333333333333,0,2.38333333333333,2.875
"2016-11-23",0.32132874617737,0,0,3.7,0.2,55.2916666666667,0,1.82916666666667,2.60833333333333
"2016-11-24",0.315123088685015,0,0,3.9,0.7,58.1666666666667,0,1.90833333333333,1.625
"2016-11-25",0.337406417112299,0,0,7.2,0.5,58.25,0,3.45,1.4125
"2016-11-26",0.505183141762452,1,0,4.8,2.2,85.5,1,3.44583333333333,1.59166666666667
"2016-11-27",0.446058823529412,1,0,10.7,1.1,70.7083333333333,0,6.425,1.8125
"2016-11-28",0.323516079632466,0,0,6.5,0.3,58.875,0,3.5875,1.62916666666667
"2016-11-29",0.309391570881226,0,0,8,0.5,54.3333333333333,0,4.24166666666667,1.14166666666667
"2016-11-30",0.292149310872894,0,0,9.9,5.3,65.7083333333333,0,8.56666666666667,1.68333333333333
"2016-12-01",0.306826086956522,0,0,9.2,-2.1,60.625,0,3.7875,2.20833333333333
"2016-12-02",0.389548275862069,0,0,8.5,-0.6,74.3333333333333,0,3.31666666666667,0.991666666666667
"2016-12-03",0.372931582584658,1,0,10.8,2.8,73.3333333333333,0,5.75,0.666666666666667
"2016-12-04",0.280718081435473,1,0,10.4,5,79.8333333333333,0,8.26666666666667,1.56666666666667
"2016-12-05",0.244082304526749,0,0,12.1,-0.2,63.2083333333333,0,5.92083333333333,3.57083333333333
"2016-12-06",0.285493897787948,0,0,4.6,-2.9,51.5416666666667,1,0.7625,1.7125
"2016-12-07",0.279428353658537,0,0,10.6,-0.9,73.25,0,4.24166666666667,1.34583333333333
"2016-12-08",0.297028136882129,0,0,8.9,2.4,71,1,6.17083333333333,2.54166666666667
"2016-12-09",0.286352851711027,0,0,5.2,-2.1,62.4166666666667,0,2.0875,2.16666666666667
"2016-12-10",0.315836626139818,1,0,5.4,-3.6,54.2916666666667,0,1.475,1.40833333333333
"2016-12-11",0.306587652439024,1,0,6.7,-1.9,49.9166666666667,0,1.35833333333333,1.3625
"2016-12-12",0.275751908396947,0,0,9.4,1.2,58.7916666666667,0,4.8375,1.05833333333333
"2016-12-13",0.268770928462709,0,0,6.9,0.3,63.9166666666667,0,3.22083333333333,2.075
"2016-12-14",0.275414133738602,0,0,2.3,-2.5,63.875,0,-0.00833333333333335,2.14166666666667
"2016-12-15",0.26008807896735,0,0,0.8,-5.1,55.875,0,-1.84583333333333,2.78333333333333
"2016-12-16",0.277416352675207,0,0,3,-2.3,66.2916666666667,0,0.8,1.69166666666667
"2016-12-17",0.318791167664671,1,0,11.1,4.1,69.25,0,6.63333333333333,1.66666666666667
"2016-12-18",0.314326151560178,1,0,10.4,4.6,73.125,1,7.7375,2.07916666666667
"2016-12-19",0.27569963099631,0,0,12.7,4.5,88.25,0,8.13333333333333,1.27916666666667
